Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
4216,"Fri May 05, 1961 14:34 UTC","Fri May 05, 1961 14:49:37 UTC",Redstone,Freedom 7 (MR-3),Mercury,0d,0h,15m,37s,,,
4208,"Fri Jul 21, 1961 12:36 UTC","Fri Jul 21, 1961 12:51:22 UTC",Redstone,Liberty Bell 7 (MR-4),Mercury,0d,0h,15m,22s,,,
4177,"Tue Feb 20, 1962 14:47 UTC","Thu Feb 22, 1962 01:06:49 UTC",Atlas-D,Friendship 7 (MA-6),Mercury,1d,10h,19m,49s,,,
4157,"Thu May 24, 1962 12:45 UTC","Thu May 24, 1962 21:58:15 UTC",Atlas-D,Aurora 7 (MA-7),Mercury,0d,9h,13m,15s,,,
4122,"Wed Oct 03, 1962 09:13 UTC","Wed Oct 03, 1962 14:09:05 UTC",Atlas-D,Sigma 7 (MA-8),Mercury,0d,4h,56m,5s,,,
4087,"Wed May 15, 1963 13:04 UTC","Wed May 15, 1963 17:59:23 UTC",Atlas-D,Faith 7 (MA-9),Mercury,0d,4h,55m,23s,,,
3978,"Tue Mar 23, 1965 14:24 UTC","Tue Mar 23, 1965 19:16:31 UTC",Titan II,Gemini 3,Gemini,00d,04h,52m,31s,,,
3964,"Thu Jun 03, 1965 15:15 UTC","Mon Jun 07, 1965 17:11:12 UTC",Titan II,Gemini IV,Gemini,04d,01h,56m,12s,,,
3945,"Sat Aug 21, 1965 13:59 UTC","Sun Aug 29, 1965 12:54:14 UTC",Titan II,Gemini V,Gemini,07d,22h,55m,14s,,,
3920,"Sat Dec 04, 1965 19:30 UTC","Sat Dec 18, 1965 14:05:01 UTC",Titan II,Gemini VII,Gemini,13d,18h,35m,01s,,,
3918,"Wed Dec 15, 1965 13:37 UTC","Thu Dec 16, 1965 15:28:24 UTC",Titan II,Gemini VI-A,Gemini,01d,01h,51m,24s,,,
3879,"Mon May 16, 1966 16:41 UTC","Tue May 17, 1966 03:22:26 UTC",Titan II,Gemini VIII,Gemini,00d,10h,41m,26s,,,
3873,"Fri Jun 03, 1966 13:39 UTC","Mon Jun 06, 1966 13:59:50 UTC",Titan II,Gemini IX-A,Gemini,03d,00h,20m,50s,,,
3858,"Mon Jul 18, 1966 22:20 UTC","Thu Jul 21, 1966 21:06:39 UTC",Titan II,Gemini X,Gemini,02d,22h,46m,39s,,,
3845,"Mon Sep 12, 1966 14:42 UTC","Thu Sep 15, 1966 13:59:09 UTC",Titan II,Gemini XI,Gemini,02d,23h,17m,09s,,,
3826,"Fri Nov 11, 1966 20:46 UTC","Tue Nov 15, 1966 19:20:31 UTC",Titan II,Gemini XII,Gemini,03d,22h,34m,31s,,,
3626,"Fri Oct 11, 1968 15:02 UTC","Tue Oct 22, 1968 11:11:03 UTC",Saturn IB,Apollo 7,Apollo,10d,20h,09m,03s,,,
3603,"Sat Dec 21, 1968 12:51 UTC","Fri Dec 27, 1968 15:51:42 UTC",Saturn V,Apollo 8,Apollo,06d,03h,00m,42s,,,
3584,"Mon Mar 03, 1969 16:00 UTC","Thu Mar 13, 1969 17:00:54 UTC",Saturn V,Apollo 9,Apollo,10d,01h,00m,54s,,,
3560,"Sun May 18, 1969 16:49 UTC","Mon May 26, 1969 16:52:23 UTC",Saturn V,Apollo 10,Apollo,08d,00h,03m,23s,,,
3545,"Wed Jul 16, 1969 13:32 UTC","Thu Jul 24, 1969 16:50:35 UTC",Saturn V,Apollo 11,Apollo,08d,03h,18m,35s,,,
3511,"Fri Nov 14, 1969 16:22 UTC","Mon Nov 24, 1969 20:58:24 UTC",Saturn V,Apollo 12,Apollo,10d,04h,36m,24s,,,
3475,"Sat Apr 11, 1970 19:13 UTC","Fri Apr 17, 1970 18:07:41 UTC",Saturn V,Apollo 13,Apollo,05d,22h,54m,41s,,,
3384,"Sun Jan 31, 1971 21:03 UTC","Tue Feb 09, 1971 21:04:58 UTC",Saturn V,Apollo 14,Apollo,09d,00h,01m,58s,,,
3328,"Mon Jul 26, 1971 13:34 UTC","Sat Aug 07, 1971 20:45:53 UTC",Saturn V,Apollo 15,Apollo,12d,07h,11m,53s,,,
3243,"Sun Apr 16, 1972 17:54 UTC","Thu Apr 27, 1972 19:45:05 UTC",Saturn V,Apollo 16,Apollo,11d,01h,51m,05s,,,
3180,"Tue Dec 19, 1972 19:24 UTC","Mon Jan 01, 1973 09:15:59 UTC",Saturn V,Apollo 17,Apollo,12d,13h,51m,59s,,,
3141,"Fri May 25, 1973 13:00 UTC","Fri Jun 22, 1973 13:49:49 UTC",Saturn IB,Skylab 2,Skylab,28d,00h,49m,49s,,,
3123,"Sat Jul 28, 1973 11:10 UTC","Tue Sep 25, 1973 22:19:34 UTC",Saturn IB,Skylab 3,Skylab,59d,11h,09m,34s,,,
3088,"Fri Nov 16, 1973 14:01 UTC","Fri Feb 08, 1974 15:16:31 UTC",Saturn IB,Skylab 4,Skylab,84d,01h,15m,31s,,,
2911,"Tue Jul 15, 1975 19:50 UTC","Thu Jul 24, 1975 21:18:00 UTC",Saturn IB,ASTP (Apollo-Soyuz Test Project),Skylab,09d,01h,28m,0s,,,
2408,"Sun Apr 12, 1981 12:00 UTC","Tue Apr 14, 1981 18:00:00 UTC",Columbia,STS-1,Space Shuttle,02d,06h,0m,0s,,,
2371,"Thu Nov 12, 1981 15:09 UTC","Sat Nov 14, 1981 21:09:00 UTC",Columbia,STS-2,Space Shuttle,02d,06h,0m,0s,,,
2348,"Mon Mar 22, 1982 16:00 UTC","Tue Mar 30, 1982 16:00:00 UTC",Columbia,STS-3,Space Shuttle,08d,00h,0m,0s,,,
2323,"Sun Jun 27, 1982 16:09 UTC","Sun Jul 04, 1982 17:09:00 UTC",Columbia,STS-4,Space Shuttle,07d,01h,0m,0s,,,
2300,"Thu Nov 11, 1982 12:19 UTC","Tue Nov 16, 1982 14:19:00 UTC",Columbia,STS-5,Space Shuttle,05d,02h,0m,0s,,,
2278,"Mon Apr 04, 1983 18:30 UTC","Sat Apr 09, 1983 18:30:00 UTC",Challenger,STS-6,Space Shuttle,05d,00h,0m,0s,,,
2261,"Sat Jun 18, 1983 11:33 UTC","Fri Jun 24, 1983 13:33:00 UTC",Challenger,STS-7,Space Shuttle,06d,02h,0m,0s,,,
2246,"Mon Sep 05, 1983 07:40 UTC","Sun Sep 11, 1983 08:40:00 UTC",Challenger,STS-8,Space Shuttle,06d,01h,0m,0s,,,
2233,"Mon Nov 28, 1983 16:00 UTC","Thu Dec 08, 1983 23:00:00 UTC",Columbia,STS-9,Space Shuttle,10d,07h,0m,0s,,,
2220,"Fri Feb 03, 1984 13:00 UTC","Sat Feb 11, 1984 12:00:00 UTC",Challenger,STS-41-B,Space Shuttle,07d,23h,0m,0s,,,
2210,"Fri Apr 06, 1984 13:58 UTC","Fri Apr 13, 1984 12:58:00 UTC",Challenger,STS-41-C,Space Shuttle,06d,23h,0m,0s,,,
2180,"Thu Aug 30, 1984 12:41 UTC","Wed Sep 05, 1984 12:41:00 UTC",Discovery,STS-41-D,Space Shuttle,06d,00h,0m,0s,,,
2172,"Fri Oct 05, 1984 11:03 UTC","Sat Oct 13, 1984 16:03:00 UTC",Challenger,STS-41-G,Space Shuttle,08d,05h,0m,0s,,,
2168,"Thu Nov 08, 1984 12:15 UTC","Fri Nov 16, 1984 11:15:00 UTC",Discovery,STS-51-A,Space Shuttle,07d,23h,0m,0s,,,
2153,"Thu Jan 24, 1985 19:50 UTC","Sun Jan 27, 1985 20:50:00 UTC",Discovery,STS-51-C,Space Shuttle,03d,01h,0m,0s,,,
2141,"Fri Apr 12, 1985 13:59 UTC","Fri Apr 19, 1985 12:59:00 UTC",Discovery,STS-51-D,Space Shuttle,06d,23h,0m,0s,,,
2136,"Mon May 06, 1985 16:02 UTC","Mon May 13, 1985 16:02:00 UTC",Challenger,STS-51-B,Space Shuttle,07d,00h,0m,0s,,,
2129,"Mon Jun 17, 1985 11:33 UTC","Mon Jun 24, 1985 12:33:00 UTC",Discovery,STS-51-G,Space Shuttle,07d,01h,0m,0s,,,
